#           k/h    P           
    0.57772E-04    0.55069E-01
    0.58062E-04    0.55334E-01
    0.58353E-04    0.55601E-01
    0.58645E-04    0.55868E-01
    0.58939E-04    0.56137E-01
    0.59235E-04    0.56407E-01
    0.59532E-04    0.56678E-01
    0.59830E-04    0.56951E-01
    0.60130E-04    0.57225E-01
    0.60431E-04    0.57500E-01
    0.60734E-04    0.57777E-01
    0.61039E-04    0.58055E-01
    0.61345E-04    0.58334E-01
    0.61652E-04    0.58615E-01
    0.61961E-04    0.58897E-01
    0.62272E-04    0.59180E-01
    0.62584E-04    0.59465E-01
    0.62898E-04    0.59751E-01
    0.63213E-04    0.60039E-01
    0.63530E-04    0.60328E-01
    0.63848E-04    0.60618E-01
    0.64168E-04    0.60910E-01
    0.64490E-04    0.61203E-01
    0.64813E-04    0.61497E-01
    0.65138E-04    0.61793E-01
    0.65464E-04    0.62090E-01
    0.65793E-04    0.62389E-01
    0.66122E-04    0.62689E-01
    0.66454E-04    0.62991E-01
    0.66787E-04    0.63294E-01
    0.67122E-04    0.63598E-01
    0.67458E-04    0.63904E-01
    0.67796E-04    0.64212E-01
    0.68136E-04    0.64521E-01
    0.68478E-04    0.64831E-01
    0.68821E-04    0.65143E-01
    0.69166E-04    0.65457E-01
    0.69513E-04    0.65771E-01
    0.69861E-04    0.66088E-01
    0.70211E-04    0.66406E-01
    0.70563E-04    0.66725E-01
    0.70917E-04    0.67046E-01
    0.71272E-04    0.67369E-01
    0.71630E-04    0.67693E-01
    0.71989E-04    0.68019E-01
    0.72349E-04    0.68346E-01
    0.72712E-04    0.68675E-01
    0.73077E-04    0.69005E-01
    0.73443E-04    0.69337E-01
    0.73811E-04    0.69671E-01
    0.74181E-04    0.70006E-01
    0.74553E-04    0.70343E-01
    0.74926E-04    0.70681E-01
    0.75302E-04    0.71021E-01
    0.75680E-04    0.71363E-01
    0.76059E-04    0.71706E-01
    0.76440E-04    0.72051E-01
    0.76823E-04    0.72398E-01
    0.77208E-04    0.72746E-01
    0.77595E-04    0.73096E-01
    0.77984E-04    0.73448E-01
    0.78375E-04    0.73801E-01
    0.78768E-04    0.74157E-01
    0.79163E-04    0.74513E-01
    0.79560E-04    0.74872E-01
    0.79958E-04    0.75232E-01
    0.80359E-04    0.75594E-01
    0.80762E-04    0.75958E-01
    0.81167E-04    0.76323E-01
    0.81574E-04    0.76690E-01
    0.81983E-04    0.77059E-01
    0.82394E-04    0.77430E-01
    0.82807E-04    0.77803E-01
    0.83222E-04    0.78177E-01
    0.83639E-04    0.78553E-01
    0.84058E-04    0.78931E-01
    0.84479E-04    0.79311E-01
    0.84903E-04    0.79692E-01
    0.85328E-04    0.80076E-01
    0.85756E-04    0.80461E-01
    0.86186E-04    0.80848E-01
    0.86618E-04    0.81237E-01
    0.87052E-04    0.81628E-01
    0.87489E-04    0.82021E-01
    0.87927E-04    0.82415E-01
    0.88368E-04    0.82812E-01
    0.88811E-04    0.83210E-01
    0.89256E-04    0.83610E-01
    0.89703E-04    0.84013E-01
    0.90153E-04    0.84417E-01
    0.90605E-04    0.84823E-01
    0.91059E-04    0.85231E-01
    0.91515E-04    0.85641E-01
    0.91974E-04    0.86053E-01
    0.92435E-04    0.86467E-01
    0.92899E-04    0.86883E-01
    0.93364E-04    0.87301E-01
    0.93832E-04    0.87721E-01
    0.94302E-04    0.88143E-01
    0.94775E-04    0.88567E-01
    0.95250E-04    0.88993E-01
    0.95728E-04    0.89422E-01
    0.96208E-04    0.89852E-01
    0.96690E-04    0.90284E-01
    0.97174E-04    0.90718E-01
    0.97662E-04    0.91155E-01
    0.98151E-04    0.91593E-01
    0.98643E-04    0.92034E-01
    0.99137E-04    0.92477E-01
    0.99634E-04    0.92922E-01
    0.10013E-03    0.93369E-01
    0.10064E-03    0.93818E-01
    0.10114E-03    0.94269E-01
    0.10165E-03    0.94723E-01
    0.10216E-03    0.95179E-01
    0.10267E-03    0.95636E-01
    0.10318E-03    0.96097E-01
    0.10370E-03    0.96559E-01
    0.10422E-03    0.97023E-01
    0.10474E-03    0.97490E-01
    0.10527E-03    0.97959E-01
    0.10580E-03    0.98430E-01
    0.10633E-03    0.98904E-01
    0.10686E-03    0.99380E-01
    0.10739E-03    0.99858E-01
    0.10793E-03    0.10034E+00
    0.10847E-03    0.10082E+00
    0.10902E-03    0.10131E+00
    0.10956E-03    0.10179E+00
    0.11011E-03    0.10228E+00
    0.11067E-03    0.10278E+00
    0.11122E-03    0.10327E+00
    0.11178E-03    0.10377E+00
    0.11234E-03    0.10427E+00
    0.11290E-03    0.10477E+00
    0.11347E-03    0.10527E+00
    0.11404E-03    0.10578E+00
    0.11461E-03    0.10629E+00
    0.11518E-03    0.10680E+00
    0.11576E-03    0.10731E+00
    0.11634E-03    0.10783E+00
    0.11692E-03    0.10835E+00
    0.11751E-03    0.10887E+00
    0.11810E-03    0.10939E+00
    0.11869E-03    0.10992E+00
    0.11928E-03    0.11045E+00
    0.11988E-03    0.11098E+00
    0.12048E-03    0.11151E+00
    0.12109E-03    0.11205E+00
    0.12169E-03    0.11259E+00
    0.12230E-03    0.11313E+00
    0.12292E-03    0.11367E+00
    0.12353E-03    0.11422E+00
    0.12415E-03    0.11477E+00
    0.12477E-03    0.11532E+00
    0.12540E-03    0.11588E+00
    0.12603E-03    0.11643E+00
